fencer_id,fencer_name,gender,weapon,tournament_name,event_id,event_name,date,seed,place,field_size,rating
100085522,"Nixon, Catherine (Kasia)",F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",6,10,218,A24
100216801,SWENSON Nikita G.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",59,133,218,B24
100306311,KALGAONKAR Arohi,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",191,191,218,C24
100215228,RANDLEMAN Teresa,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",124,136,218,A23
100201623,WANG Sophie Y.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",204,150,218,C24
100339041,HAUSHEER Kuncen,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",133,134,218,B24
100252967,JOYAL Anne-Sophie,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",70,117,218,B24
100220350,RAKHOVSKI Alexandra,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",42,120,218,A24
100168399,TOBY Natalia R.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",15,51,218,A23
100161631,KHAMIS Yasmine A.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",13,23,218,A24
100229596,YIN Julia,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",9,3,218,A24
100085522,"Nixon, Catherine (Kasia)",F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",2,5,155,A23
100318365,SOBUS Yanka,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",90,44,155,A23
100197999,POTAPENKO Margarita D.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",95,149,155,A23
100192623,ZHU Serene M.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",138,144,155,B23
100230661,MAO Amy,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",44,75,155,A23
100298535,LEE yat ching,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",140,77,155,B23
100216822,KOWALSKY Rachel A.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",48,30,155,A21
100240603,SMOTRITSKY Mia,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",91,55,155,A23
100296476,LEE Natasha,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",86,16,155,A23
100161631,KHAMIS Yasmine A.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",31,2,155,A24
100085522,"Nixon, Catherine (Kasia)",F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",4,9,135,A23
100234946,PROFIS Liora,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",76,56,135,A24
100207864,LONADIER Keira,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",114,131,135,B23
100215228,RANDLEMAN Teresa,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",84,128,135,A23
100249145,CHEN Lefu,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",44,52,135,A24
100198077,LEE Sumin,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",37,3,135,A23
100196898,CALDERA Lexi I.,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",122,80,135,B23
100157115,MILEWSKI Nicole,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",82,26,135,A23
100193163,CHIN Isabella,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",23,8,135,A23
100085522,"Nixon, Catherine (Kasia)",F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",5,39,200,A23
100290098,CHA Eugenie,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",160,94,200,B22
100177035,CHISHOLM Phoebe C.,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",97,88,200,A23
100305606,WANG Zoe,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",109,49,200,B23
100180291,ZUHARS Renee A.,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",33,23,200,A23
100194950,GANDHI Sedna S.,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",36,43,200,A23
100164738,WATRALL Christina,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",24,21,200,A23
100130624,GRADY Miriam A.,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",13,30,200,A23
100097658,"Washington, Isis",F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",5,30,218,A24
100166592,O'DONNELL Amanda A.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",60,124,218,A23
100895059,BOS Valentina,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",201,39,218,C24
100132241,RAUSCH Ariana (Ari) M.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",69,46,218,A24
100199566,GAO Judy,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",189,191,218,C24
100233475,AI Amy,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",123,130,218,A23
100182836,HOAGLAND Sally,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",135,166,218,B24
100273315,LIANG Jingjing,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",145,162,218,B24
100264363,SHU Youshan,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",106,72,218,A24
100234032,KUZNETSOV Victoria,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",28,58,218,A24
100235482,XIAO Ruien,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",3,1,218,A24
100097658,"Washington, Isis",F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",1,9,155,A24
100233475,AI Amy,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",92,40,155,A23
100231826,BUSH emma,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",47,114,155,B23
100268462,CANNING Charlotte,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",137,152,155,B23
100319891,POHREBNA Yeva,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",93,60,155,A23
100225149,CARRIER Meredith,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",46,76,155,B24
100238120,DALEY Keira,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",139,106,155,B23
100090972,HAMILTON Pauline S.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",40,55,155,B22
100098259,NIXON Caroline (Karolina) L.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",23,23,155,A20
100097658,"Washington, Isis",F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",5,20,135,A24
100213556,CAPELLUA Mariasole,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",85,123,135,A23
100301883,GARIKIPATI Thansi,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",118,83,135,B23
100226180,KIM Jayna,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",127,73,135,B22
100227601,TOLSMA Chloe (CJ),F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",36,22,135,A24
100194539,MUN Brianna K.,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",77,98,135,A24
100203537,MUELLER Emma M.,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",45,92,135,A24
100215615,WITTER Catherine A.,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",59,47,135,A24
100097658,"Washington, Isis",F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",7,1,200,A22
100214201,YOUNG VIVIAN,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",115,92,200,B23
100258122,DU Eiry,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",174,83,200,C23
100235027,SPRINGER Sierra,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",54,37,200,A23
100231936,MILLETTE Marie Frederique,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",52,62,200,A23
100198077,LEE Sumin,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",50,31,200,A23
100188727,PARK Faith K.,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",22,19,200,A23
100171948,SHEFFIELD Lake Mawu,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",30,56,200,B23
100168399,TOBY Natalia R.,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",12,22,200,A23
100240406,WU Fan,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",68,16,200,A23
100168269,CEBULA Anne,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",3,6,200,A23
100229596,YIN Julia,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",20,3,200,A23
100201801,GU Sarah,F,epee,January NAC,21183,Div I Women's Épée,"January 7, 2024",28,2,200,A23
100251493,"Liu, Charlene (Kai)",F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",7,65,218,A24
100279965,LI Fei,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",73,114,218,A24
100870517,ALVIM Maria,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",122,18,218,A23
100295580,MCSWEENEY Janie,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",190,199,218,C24
100343780,VASYAKIN Liana,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",202,195,218,C24
100181085,TYLER Syd,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",58,129,218,A22
100273772,LI Olivia,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",134,174,218,B24
100167902,LIN Jessica Y.,F,epee,October NAC,26598,Div I Women's Épée,"October 7, 2024",16,63,218,A24
100251493,"Liu, Charlene (Kai)",F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",3,19,155,A23
100256654,BECKMAN Ana,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",49,116,155,A23
100308304,EDWARDS Auprell,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",96,22,155,A23
100177035,CHISHOLM Phoebe C.,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",45,51,155,A23
100276841,PHUKAN Indra,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",143,148,155,B23
100265363,LIN Ashley,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",136,122,155,B23
100301021,LAI Amanda,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",151,117,155,C24
100286670,IYER Ishana,F,epee,National Championships and July Challenge (Summer Nationals),25107,Div I Women's Épée,"June 29, 2024",135,50,155,B23
100251493,"Liu, Charlene (Kai)",F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",6,11,135,A23
100231826,BUSH emma,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",116,31,135,B23
100225740,NGUYEN Tallulah,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",35,115,135,A23
100177035,CHISHOLM Phoebe C.,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",87,29,135,A23
100204786,ZHANG Victoria R.,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",46,78,135,A23
100236195,LEE Scarlett,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",75,54,135,A24
100250590,WANG Jessie,F,epee,Division 1/Parafencing National Championships + April NAC,23895,Div I Women's Épée,"April 26, 2024",128,55,135,C24
